vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW X1;134.000 km;sep-12;160 kW (218 CV);Automático;Diésel;5,9;DE;156;€ 14.600;;;
BMW 523;207.613 km;oct-10;150 kW (204 CV);Automático;Gasolina;7,6;Unknown;178;€ 8.999;;;
BMW 116;153.877 km;jul-11;100 kW (136 CV);Manual;Gasolina;5,6;DE;131;€ 8.500;;;
BMW 520;260.000 km;ago-10;120 kW (163 CV);Manual;Diésel;5,7;Unknown;152;€ 6.500;;;
BMW 740;120.000 km;feb-12;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;183;€ 23.550;;;
BMW 525;115.000 km;dic-12;160 kW (218 CV);Automático;Diésel;4,8;Unknown;126;€ 15.100;;;
BMW X1;200.000 km;jun-10;105 kW (143 CV);Automático;Diésel;6,2;Unknown;164;€ 7.750;;;
BMW X5;62.293 km;jun-12;225 kW (306 CV);Automático;Diésel;7,3;AT;198;€ 34.900;;;
BMW 523;114.699 km;jul-10;150 kW (204 CV);Automático;Gasolina;-/- ;AT;-/- ;€ 14.880;;;
BMW 316;181.000 km;jun-11;85 kW (116 CV);Manual;Diésel;4,5;Unknown;118;€ 8.500;;;
BMW 330;269.000 km;jul-10;180 kW (245 CV);Automático;Diésel;5,7;Unknown;152;€ 8.400;;;
BMW 320;220.000 km;jul-12;135 kW (184 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 11.900;;;
BMW X6;290.162 km;mar-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 18.950;;;
BMW 740;201.000 km;oct-10;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;183;€ 19.500;;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;;
BMW 120;188.000 km;jun-11;130 kW (177 CV);Manual;Diésel;4,7;DE;124;€ 8.900;;;
BMW 116;144.658 km;jun-12;100 kW (136 CV);Automático;Gasolina;5,8;Unknown;134;€ 14.500;;;
BMW 525;116.000 km;ago-12;160 kW (218 CV);Automático;Diésel;4,8;Unknown;126;€ 16.500;;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 650;73.000 km;sep-11;300 kW (408 CV);Automático;Gasolina;10,5;Unknown;245;€ 26.000;;;
BMW 320;134.845 km;oct-10;125 kW (170 CV);Manual;Gasolina;6,8;DE;159;€ 13.860;;;
BMW 1er M Coupé;30.500 km;may-11;250 kW (340 CV);Manual;Gasolina;9,6;Unknown;224;€ 55.000;;;
BMW 318;269.800 km;jun-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 4.900;;;
BMW X5 M;127.000 km;jun-12;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 26.490;;;
BMW 320;171.000 km;sep-10;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 9.900;;;
BMW X1;140.000 km;sep-12;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 13.900;;;
BMW 116;151.478 km;may-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.950;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW X3;165.000 km;dic-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 13.900;;;
BMW 730;140.000 km;ago-12;180 kW (245 CV);Automático;Diésel;6,8;Unknown;178;€ 23.500;;;
BMW 530;161.000 km;ene-12;180 kW (245 CV);Automático;Diésel;6,9;Unknown;183;€ 20.999;;;
BMW X1;108.000 km;abr-12;105 kW (143 CV);Automático;Diésel;6,2;Unknown;164;€ 15.500;;;
BMW 320;187.000 km;mar-10;130 kW (177 CV);Manual;Diésel;4,9;Unknown;130;€ 7.950;;;
BMW X1;95.000 km;jul-11;105 kW (143 CV);Manual;Diésel;5,7;Unknown;150;€ 11.500;;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW X3;90.000 km;jun-12;230 kW (313 CV);Automático;Diésel;6,1;Unknown;162;€ 21.800;;;
BMW 320;101.000 km;jul-11;120 kW (163 CV);Automático;Diésel;5,6;BE;149;€ 16.950;;;
BMW 320;155.000 km;dic-12;135 kW (184 CV);Automático;Diésel;4,8;Unknown;125;€ 16.500;;;
BMW 528;130.000 km;abr-12;180 kW (245 CV);Automático;Gasolina;6,5;Unknown;152;€ 15.499;;;
BMW 320;175.000 km;nov-12;135 kW (184 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 14.500;;;
BMW 318;198.200 km;jun-10;105 kW (143 CV);Automático;Diésel;5,4;Unknown;142;€ 6.666;;;
BMW 114;96.500 km;ago-12;75 kW (102 CV);Manual;Gasolina;5,5;Unknown;127;€ 11.000;;;
BMW 318;149.990 km;abr-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;147;€ 8.500;;;
BMW 320;197.000 km;feb-12;120 kW (163 CV);Manual;Diésel;4,1;Unknown;109;€ 15.600;;;
BMW 120;156.000 km;oct-10;130 kW (177 CV);Manual;Diésel;4,7;Unknown;125;€ 6.500;;;
BMW 530;233.000 km;jun-10;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 10.500;;;
BMW 318;190.287 km;ene-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;146;€ 7.944;;;
BMW 318;190.287 km;ene-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;146;€ 7.944;;;
BMW X1;177.000 km;may-11;100 kW (136 CV);Automático;Diésel;5,9;Unknown;155;€ 9.250;;;
BMW 116;82.000 km;jul-12;85 kW (116 CV);Automático;Diésel;4,4;ES;-/- ;€ 10.500;;;
BMW 640;19.800 km;jun-11;235 kW (320 CV);Automático;Gasolina;7,9;Unknown;185;€ 32.000;;;
BMW 116;154.000 km;abr-10;85 kW (116 CV);Manual;Diésel;4,5;Unknown;118;€ 4.995;;;
BMW 318;75.000 km;oct-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 7.900;;;
BMW X6;160.000 km;may-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 22.000;;;
BMW 330;117.000 km;ago-12;190 kW (258 CV);Automático;Diésel;5 l/;Unknown;131;€ 17.500;;;
BMW 535;262.000 km;jun-11;220 kW (299 CV);Automático;Diésel;7,1;IT;187;€ 11.500;;;
BMW 318;126.065 km;jun-12;105 kW (143 CV);Manual;Gasolina;6,3;DE;147;€ 10.400;;;
BMW 316;140.000 km;jun-12;85 kW (116 CV);Manual;Diésel;4,3;Unknown;114;€ 11.490;;;
BMW 520;212.000 km;ago-11;135 kW (184 CV);Manual;Diésel;4,9;Unknown;130;€ 11.200;;;
BMW X3;242.000 km;jun-10;105 kW (143 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 7.998;;;
BMW 116;113.175 km;ago-11;90 kW (122 CV);Automático;Gasolina;6,6;Unknown;154;€ 12.000;;;
BMW 116;113.175 km;oct-11;100 kW (136 CV);Automático;Gasolina;6,6;Unknown;154;€ 12.000;;;
BMW 318;145.000 km;may-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 6.900;;;
BMW 135;119.000 km;jul-11;225 kW (306 CV);Manual;Gasolina;8,5;Unknown;198;€ 10.000;;;
BMW X3;220.000 km;dic-12;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 10.000;;;
BMW 114;93.500 km;oct-12;75 kW (102 CV);Manual;Gasolina;5,5;Unknown;127;€ 9.500;;;
BMW 330;290.000 km;ene-10;180 kW (245 CV);Automático;Diésel;6,8;Unknown;178;€ 11.900;;;
BMW 116;218.000 km;dic-10;85 kW (116 CV);Manual;Diésel;4,5;DE;118;€ 3.999;;;
BMW 318;190.000 km;feb-12;105 kW (143 CV);Automático;Diésel;6,1;DE;162;€ 7.600;;;
BMW X1;210.050 km;ene-12;100 kW (136 CV);Manual;Diésel;5,7;Unknown;150;€ 9.000;;;
BMW 525;280.000 km;jun-12;150 kW (204 CV);Automático;Diésel;6,2;Unknown;162;€ 11.000;;;
BMW 335;104.000 km;oct-10;225 kW (306 CV);Automático;Gasolina;8,4;Unknown;196;€ 20.000;;;
BMW 520;218.000 km;ago-12;135 kW (184 CV);Manual;Diésel;4,9;Unknown;130;€ 12.500;;;
BMW X3;205.000 km;jun-10;120 kW (163 CV);Manual;Diésel;6,5;Unknown;172;€ 8.500;;;
BMW X1;152.000 km;oct-12;105 kW (143 CV);Manual;Diésel;5,7;Unknown;150;€ 9.900;;;
BMW 118;171.588 km;abr-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;-/- ;€ 8.000;;;
BMW 535;167.000 km;oct-12;230 kW (313 CV);Automático;Diésel;5,9;Unknown;156;€ 17.899;;;
BMW 320;278.000 km;mar-10;120 kW (163 CV);Manual;Diésel;4,9;Unknown;130;€ 3.700;;;
BMW 118;195.000 km;sep-12;100 kW (136 CV);Manual;Diésel;4,1;BE;109;€ 9.499;;;
BMW 520;130.000 km;sep-12;135 kW (184 CV);Manual;Diésel;4,9;BE;130;€ 11.990;;;
BMW 120;180.000 km;mar-11;125 kW (170 CV);Automático;Gasolina;6,6;Unknown;155;€ 5.500;;;
BMW 530;163.014 km;ago-10;180 kW (245 CV);Automático;Diésel;6,1;DE;160;€ 13.880;;;
BMW X3;147.000 km;jul-12;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 13.900;;;
BMW 320;161.000 km;ago-10;130 kW (177 CV);Manual;Diésel;5,4;Unknown;143;€ 9.000;;;
BMW 750;170.000 km;abr-11;300 kW (408 CV);Automático;Gasolina;11,4;AT;266;€ 17.500;;;
BMW 530;187.000 km;ene-12;190 kW (258 CV);Automático;Diésel;5,7;Unknown;149;€ 15.000;;;
BMW 318;110.905 km;ago-12;105 kW (143 CV);Automático;Diésel;4,5;DE;119;€ 15.790;;;
BMW 316;60.000 km;dic-12;100 kW (136 CV);Automático;Gasolina;5,9;Unknown;138;€ 14.800;;;
BMW 118;127.000 km;jun-11;105 kW (143 CV);Automático;Gasolina;6,1;Unknown;143;€ 7.999;;;
BMW 318;110.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,3;ES;140;€ 9.995;;;
BMW Z4;125.000 km;ago-10;150 kW (204 CV);Automático;Gasolina;8,5;Unknown;199;€ 14.200;;;
BMW X1;162.200 km;feb-12;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 7.990;;;
BMW 535;188.985 km;may-11;220 kW (299 CV);Automático;Diésel;6,7;BE;175;€ 19.500;;;
BMW M6;55.229 km;ago-12;412 kW (560 CV);Automático;Gasolina;10,3;DE;244;€ 50.900;;;
BMW 318;174.654 km;jul-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 7.960;;;
BMW 320;62.000 km;dic-12;135 kW (184 CV);Automático;Gasolina;6,2;Unknown;139;€ 16.900;;;
BMW X1;164.365 km;sep-12;100 kW (136 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 8.500;;;
BMW 520;132.000 km;jul-11;135 kW (184 CV);Manual;Diésel;4,9;Unknown;129;€ 15.000;;;
BMW X1;123.725 km;feb-12;100 kW (136 CV);Manual;Diésel;5,7;BE;150;€ 8.990;;;
BMW 530;260.000 km;ene-11;180 kW (245 CV);Manual;Diésel;6,4;Unknown;169;€ 12.500;;;
BMW 320;34.448 km;abr-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 26.500;;;
BMW 318;146.000 km;ago-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 8.300;;;
BMW 520;122.155 km;nov-11;120 kW (163 CV);Automático;Diésel;4,9;Unknown;129;€ 14.500;;;
BMW 740;202.000 km;mar-12;225 kW (306 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 20.000;;;
BMW 118;144.000 km;sep-11;105 kW (143 CV);Manual;Diésel;4,4;Unknown;115;€ 10.000;;;
BMW 530;175.000 km;abr-10;173 kW (235 CV);Automático;Diésel;6,8;Unknown;180;€ 13.450;;;
BMW 525;123.640 km;jun-10;150 kW (204 CV);Automático;Diésel;6,1;Unknown;160;€ 14.500;;;
BMW 740;202.000 km;mar-12;225 kW (306 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 20.000;;;
BMW 320;115.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,8;Unknown;128;€ 9.750;;;
BMW 116;155.000 km;jun-12;85 kW (116 CV);Manual;Diésel;3,8;Unknown;99 g;€ 7.750;;;
BMW 118;246.000 km;ene-11;105 kW (143 CV);Automático;Gasolina;6,6;Unknown;154;€ 12.500;;;
BMW 118;115.000 km;feb-11;105 kW (143 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 7.500;;;
BMW X6 M;167.000 km;oct-12;280 kW (381 CV);Automático;Diésel;7,7;Unknown;204;€ 26.900;;;
BMW 520;215.000 km;dic-11;135 kW (184 CV);Manual;Diésel;4,4;Unknown;119;€ 9.700;;;
BMW 528;181.500 km;mar-12;190 kW (258 CV);Automático;Gasolina;7,8;Unknown;182;€ 17.950;;;
BMW;146.998 km;abr-12;250 kW (340 CV);Manual;Gasolina;9,6;NL;224;€ 37.950;;;
BMW X3;94.000 km;mar-12;135 kW (184 CV);Automático;Diésel;5,6;Unknown;147;€ 15.950;;;
BMW 116;107.000 km;oct-10;90 kW (122 CV);Manual;Gasolina;6,1;Unknown;143;€ 6.100;;;
BMW 118;126.000 km;jul-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 13.999;;;
BMW M6;69.700 km;jun-12;412 kW (560 CV);Automático;Gasolina;9,9;DE;232;€ 54.500;;;
BMW 640;135.509 km;jul-11;235 kW (320 CV);Automático;Gasolina;7,8;DE;184;€ 25.990;;;
BMW 730;212.000 km;dic-11;155 kW (211 CV);Automático;Diésel;6,9;BE;180;€ 17.400;;;
BMW X1;119.000 km;oct-10;130 kW (177 CV);Semiautomático;Diésel;6,2;Unknown;164;€ 10.900;;;
BMW 320;365.000 km;ago-11;120 kW (163 CV);Manual;Diésel;4,8;Unknown;128;€ 4.300;;;
BMW 320;294.000 km;oct-10;135 kW (184 CV);Manual;Diésel;5,1;Unknown;135;€ 9.800;;;
BMW 316;152.000 km;nov-12;85 kW (116 CV);Manual;Diésel;4,6;Unknown;115;€ 12.200;;;
BMW 116;137.000 km;oct-11;100 kW (136 CV);Automático;Gasolina;5,8;Unknown;134;€ 12.500;;;
BMW X1;128.000 km;abr-10;100 kW (136 CV);Manual;Diésel;5,2;Unknown;136;€ 8.900;;;
BMW 116;189.000 km;oct-11;100 kW (136 CV);Manual;Gasolina;5,7;Unknown;132;€ 9.994;;;
BMW 328;130.000 km;may-12;180 kW (245 CV);Automático;Gasolina;6,3;Unknown;147;€ 18.000;;;
BMW 525;198.418 km;dic-10;150 kW (204 CV);Automático;Diésel;6,2;Unknown;162;€ 12.490;;;
BMW 520;248.000 km;may-10;130 kW (177 CV);Manual;Diésel;5,3;Unknown;140;€ 6.469;;;
BMW 320;139.873 km;oct-12;120 kW (163 CV);Manual;Diésel;4,7;BE;124;€ 12.790;;;
BMW 320;150.000 km;oct-10;130 kW (177 CV);Manual;Diésel;5,3;Unknown;140;€ 12.950;;;
BMW X1;146.000 km;jul-10;130 kW (177 CV);Manual;Diésel;5,8;DE;153;€ 9.990;;;
BMW 320;192.000 km;abr-10;130 kW (177 CV);Automático;Diésel;5,3;Unknown;140;€ 13.500;;;
BMW 535;167.000 km;jun-12;230 kW (313 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 18.000;;;
BMW 525;124.386 km;jul-12;160 kW (218 CV);Automático;Diésel;5,1;DE;135;€ 18.800;;;
BMW 316;206.000 km;sep-11;85 kW (116 CV);Manual;Diésel;4,5;Unknown;119;€ 7.700;;;
BMW 118;29.000 km;jul-12;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 11.000;;;
BMW Active Hybrid 7;273.000 km;may-10;330 kW (449 CV);Automático;Gasolina;9,4;Unknown;219;€ 19.000;;;
BMW 535;106.000 km;nov-12;225 kW (306 CV);Automático;Gasolina;8 l/;Unknown;185;€ 21.000;;;
BMW 530;228.003 km;ene-11;221 kW (300 CV);Automático;Diésel;6,3;NL;165;€ 13.750;;;
BMW X5 M;208.800 km;abr-11;155 kW (211 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 14.500;;;
BMW 320;93.000 km;ene-11;120 kW (163 CV);Manual;Diésel;4,7;Unknown;125;€ 11.900;;;
BMW 316;116.000 km;jun-10;85 kW (116 CV);Manual;Diésel;4,5;Unknown;119;€ 8.900;;;
BMW 530;144.500 km;abr-12;190 kW (258 CV);Automático;Diésel;5,7;Unknown;149;€ 14.450;;;
BMW 116;85.000 km;may-12;100 kW (136 CV);Manual;Gasolina;-/- ;Unknown;-/- ;€ 11.600;;;
BMW 118;156.229 km;abr-10;105 kW (143 CV);Manual;Gasolina;6,3;DE;149;€ 7.699;;;
BMW 114;198.000 km;sep-12;75 kW (102 CV);Manual;Gasolina;5,7;Unknown;132;€ 8.000;;;
BMW 320;158.000 km;may-10;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 11.800;;;
BMW 325;188.000 km;feb-10;145 kW (197 CV);Automático;Diésel;6,2;Unknown;164;€ 11.199;;;
BMW X1;210.000 km;mar-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 8.000;;;
BMW X1;101.400 km;ene-12;105 kW (143 CV);Manual;Diésel;5,2;IT;136;€ 10.500;;;
BMW X1;97.500 km;sep-10;105 kW (143 CV);Manual;Diésel;5,2;DE;136;€ 8.999;;;
BMW X1;108.050 km;feb-12;105 kW (143 CV);Manual;Diésel;5,7;DE;150;€ 9.999;;;
BMW X3;139.000 km;oct-11;135 kW (184 CV);Automático;Diésel;4,9;DE;129;€ 10.999;;;
BMW M3;76.000 km;feb-11;449 kW (610 CV);Automático;Gasolina;12,4;Unknown;290;€ 49.500;;;
BMW X1;334.000 km;nov-11;105 kW (143 CV);Manual;Diésel;5,2;DE;136;€ 6.150;;;
BMW 120;182.000 km;jun-12;135 kW (184 CV);Automático;Diésel;4,4;Unknown;116;€ 7.300;;;
BMW 116;99.867 km;nov-10;90 kW (122 CV);Manual;Gasolina;6,1;DE;143;€ 4.999;;;
BMW X6;160.688 km;dic-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 19.200;;;
BMW X3;173.000 km;nov-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 11.000;;;
BMW 116;124.000 km;abr-10;85 kW (116 CV);Manual;Diésel;4,5;BE;118;€ 6.490;;;
BMW X1;249.447 km;ene-12;105 kW (143 CV);Manual;Diésel;5,2;BE;136;€ 7.250;;;
BMW X1;55.900 km;oct-12;135 kW (184 CV);Automático;Gasolina;-/- ;Unknown;-/- ;€ 13.500;;;
BMW 318;179.900 km;jul-12;105 kW (143 CV);Manual;Diésel;4,5;IT;118;€ 12.900;;;
BMW X3;163.586 km;dic-10;137 kW (186 CV);Manual;Diésel;-/- ;FR;149;€ 11.400;;;
BMW 118;65.953 km;sep-12;105 kW (143 CV);Manual;Diésel;4,5;IT;119;€ 12.990;;;
BMW 118;65.953 km;sep-12;105 kW (143 CV);Manual;Diésel;4,5;IT;119;€ 10.990;;;
BMW 118;89.000 km;mar-11;105 kW (143 CV);Manual;Gasolina;6,5;DE;152;€ 11.990;;;
BMW X1;95.000 km;sep-11;130 kW (177 CV);Manual;Diésel;5,8;DE;153;€ 13.690;;;
BMW X3;150.000 km;oct-11;135 kW (184 CV);Manual;Diésel;5,6;DE;148;€ 11.900;;;
BMW 530;100.000 km;nov-12;190 kW (258 CV);Automático;Diésel;5,7;DE;151;€ 18.900;;;
BMW X1;104.600 km;may-12;130 kW (177 CV);Automático;Diésel;5,8;DE;153;€ 14.950;;;
BMW Z4;57.000 km;ene-11;250 kW (340 CV);Automático;Gasolina;9,4;DE;219;€ 29.900;;;
BMW Z4;79.000 km;ago-12;150 kW (204 CV);Manual;Gasolina;9,2;DE;215;€ 23.990;;;
BMW 750;104.250 km;mar-12;300 kW (408 CV);Automático;Gasolina;11,9;DE;278;€ 18.990;;;
BMW 320;195.000 km;dic-10;135 kW (184 CV);Manual;Diésel;5,3;DE;140;€ 5.490;;;
BMW X5;150.000 km;mar-12;225 kW (306 CV);Automático;Diésel;7,5;DE;199;€ 22.900;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 116;151.478 km;may-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.950;;;
BMW 125;116.354 km;nov-12;160 kW (218 CV);Manual;Gasolina;6,6;ES;-/- ;€ 19.400;;;
BMW 730;198.000 km;may-11;180 kW (245 CV);Automático;Diésel;7,3;DE;194;€ 18.500;;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;;
BMW 125;58.319 km;jun-12;160 kW (218 CV);Automático;Gasolina;8,3;ES;-/- ;€ 16.200;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 118;84.037 km;mar-11;105 kW (143 CV);Manual;Gasolina;6,3;DE;149;€ 12.990;;;
BMW 335;85.707 km;abr-12;225 kW (306 CV);Automático;Gasolina;7,9;DE;187;€ 20.500;;;
