vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;;
Land Rover Freelander;213.720 km;sep-11;110 kW (150 CV);Manual;Diésel;6,2;IT;165;€ 6.400;;;;
Land Rover Defender;78.845 km;may-11;90 kW (122 CV);-/- (Cambio);Diésel;11,1;Unknown;295;€ 33.200;;;;
Land Rover Defender;126.690 km;ene-10;90 kW (122 CV);Manual;Diésel;10 l;IT;266;€ 21.900;;;;
Land Rover Range Rover Evoque;139.000 km;dic-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 19.800;;;;
Land Rover Range Rover Evoque;178.246 km;feb-12;110 kW (150 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 12.991;;;;
Land Rover Freelander;171.000 km;jul-10;110 kW (150 CV);Manual;Diésel;6,7;Unknown;179;€ 9.600;;;;
Land Rover Defender;104.777 km;jul-10;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 29.999;;;;
Land Rover Range Rover Evoque;155.000 km;may-12;140 kW (190 CV);Automático;Diésel;6,5;BE;174;€ 14.500;;;;
Land Rover Range Rover Evoque;62.000 km;nov-12;110 kW (150 CV);Manual;Diésel;5 l/;Unknown;133;€ 21.500;;;;
Land Rover Defender;138.800 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;DE;269;€ 24.900;;;;
Land Rover Discovery;162.800 km;may-12;188 kW (256 CV);Automático;Diésel;8,8;DE;233;€ 22.930;;;;
Land Rover Discovery;170.000 km;oct-10;140 kW (190 CV);Automático;Diésel;10,2;Unknown;270;€ 20.300;;;;
Land Rover Range Rover Evoque;82.000 km;jul-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 17.500;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Sport;159.000 km;oct-11;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 15.950;;;;
Land Rover Freelander;140.000 km;sep-12;110 kW (150 CV);Manual;Diésel;7,5;DE;194;€ 9.400;;;;
Land Rover Freelander;199.899 km;mar-12;110 kW (150 CV);Manual;Diésel;-/- ;BE;165;€ 8.900;;;;
Land Rover Freelander;82.000 km;mar-11;110 kW (150 CV);Automático;Diésel;8,5;DE;224;€ 14.900;;;;
Land Rover Range Rover Sport;139.990 km;ene-10;200 kW (272 CV);Automático;Diésel;11,1;ES;-/- ;€ 20.590;;;;
Land Rover Defender;41.800 km;jul-10;90 kW (122 CV);Manual;Diésel;10 l;Unknown;266;€ 37.510;;;;
Land Rover Defender;205.000 km;sep-12;90 kW (122 CV);Manual;Diésel;10 l;DE;265;€ 24.950;;;;
Land Rover Range Rover Evoque;180.000 km;ago-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 16.900;;;;
Land Rover Discovery;189.723 km;mar-11;180 kW (245 CV);Automático;Diésel;9,3;DE;244;€ 15.950;;;;
Land Rover Defender;99.978 km;feb-11;90 kW (122 CV);Manual;Diésel;11 l;DE;291;€ 30.999;;;;
Land Rover Range Rover;115.000 km;feb-12;230 kW (313 CV);Automático;Diésel;9,4;NL;253;€ 29.950;;;;
Land Rover Freelander;193.041 km;mar-12;110 kW (150 CV);Automático;Diésel;7 l/;NL;185;€ 10.920;;;;
Land Rover Discovery;189.000 km;ene-12;188 kW (256 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 18.700;;;;
Land Rover Freelander;152.448 km;ago-11;118 kW (160 CV);Automático;Diésel;7,5;IT;194;€ 9.900;;;;
Land Rover Range Rover Evoque;87.213 km;jul-12;140 kW (190 CV);Manual;Diésel;5,7;IT;149;€ 17.500;;;;
Land Rover Range Rover Sport;213.490 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;NL;243;€ 14.900;;;;
Land Rover Range Rover;234.349 km;ene-11;230 kW (313 CV);Automático;Diésel;9,4;NL;253;€ 19.950;;;;
Land Rover Range Rover Sport;250.000 km;may-12;155 kW (211 CV);Automático;Diésel;8,5;BE;224;€ 13.990;;;;
Land Rover Discovery;225.000 km;feb-10;180 kW (245 CV);Automático;Diésel;9,3;IT;244;€ 12.900;;;;
Land Rover Range Rover Sport;104.000 km;oct-11;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 17.490;;;;
Land Rover Range Rover Evoque;131.789 km;sep-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 18.900;;;;
Land Rover Freelander;160.000 km;jul-12;140 kW (190 CV);Automático;Diésel;7 l/;IT;185;€ 9.900;;;;
Land Rover Range Rover Evoque;164.690 km;jun-12;140 kW (190 CV);Automático;Diésel;6,5;NL;169;€ 18.900;;;;
Land Rover Range Rover Evoque;99.335 km;jun-12;179 kW (243 CV);Automático;Gasolina;-/- ;FR;-/- ;€ 26.990;;;;
Land Rover Range Rover Evoque;99.500 km;sep-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 18.990;;;;
Land Rover Range Rover Evoque;38.000 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;DE;151;€ 27.850;;;;
Land Rover Range Rover Sport;97.000 km;oct-10;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 19.000;;;;
Land Rover Range Rover Evoque;185.000 km;mar-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 16.000;;;;
Land Rover Range Rover Sport;177.500 km;oct-11;155 kW (211 CV);Automático;Diésel;9,2;ES;-/- ;€ 22.500;;;;
Land Rover Range Rover Evoque;106.000 km;jun-12;140 kW (190 CV);Manual;Diésel;5,7;IT;149;€ 19.500;;;;
Land Rover Range Rover Evoque;286.144 km;abr-12;140 kW (190 CV);Automático;Diésel;-/- ;BE;169;€ 14.950;;;;
Land Rover Range Rover Evoque;98.978 km;ago-12;177 kW (241 CV);Automático;Gasolina;8,7;NL;199;€ 29.900;;;;
Land Rover Range Rover Sport;210.000 km;feb-12;155 kW (211 CV);Semiautomático;Diésel;-/- ;BE;224;€ 13.900;;;;
Land Rover Freelander;238.248 km;jun-10;118 kW (160 CV);Manual;Diésel;6,5;IT;179;€ 6.370;;;;
Land Rover Freelander;173.365 km;oct-10;112 kW (152 CV);Manual;Diésel;6,7;DE;178;€ 6.980;;;;
Land Rover Range Rover Evoque;230.630 km;mar-12;140 kW (190 CV);Automático;Diésel;6,5;DE;172;€ 15.950;;;;
Land Rover Freelander;119.990 km;abr-10;112 kW (152 CV);Automático;Diésel;6,7;DE;179;€ 7.990;;;;
Land Rover Range Rover Evoque;125.000 km;mar-12;177 kW (241 CV);Automático;Gasolina;8,4;Unknown;199;€ 24.500;;;;
Land Rover Discovery;91.800 km;ago-11;155 kW (211 CV);Automático;Diésel;8,5;Unknown;224;€ 29.000;;;;
Land Rover Defender;149.000 km;sep-10;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 28.000;;;;
Land Rover Defender;67.800 km;sep-12;90 kW (122 CV);Manual;Diésel;11,1;BE;295;€ 36.990;;;;
Land Rover Freelander;131.000 km;ene-12;140 kW (190 CV);Automático;Diésel;7 l/;ES;-/- ;€ 13.900;;;;
Land Rover Range Rover Sport;168.000 km;feb-11;180 kW (245 CV);Automático;Diésel;7 l/;Unknown;180;€ 14.900;;;;
Land Rover Range Rover Evoque;171.091 km;sep-11;177 kW (241 CV);Automático;Gasolina;8,7;NL;199;€ 21.995;;;;
Land Rover Freelander;134.028 km;ene-11;110 kW (150 CV);Manual;Diésel;6 l/;NL;158;€ 12.500;;;;
Land Rover Range Rover;203.990 km;mar-10;200 kW (272 CV);Automático;Diésel;11,1;NL;294;€ 17.995;;;;
Land Rover Freelander;160.338 km;jul-11;110 kW (150 CV);Manual;Diésel;6 l/;AT;159;€ 9.990;;;;
Land Rover Range Rover Sport;278.000 km;jul-10;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 10.400;;;;
Land Rover Range Rover Evoque;129.000 km;dic-12;140 kW (190 CV);Automático;Diésel;6,4;Unknown;169;€ 23.900;;;;
Land Rover Range Rover Sport;159.500 km;dic-10;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 18.900;;;;
Land Rover Range Rover Sport;244.000 km;oct-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 13.000;;;;
Land Rover Range Rover Sport;105.000 km;mar-12;188 kW (256 CV);Automático;Diésel;9,2;Unknown;230;€ 28.500;;;;
Land Rover Defender;98.513 km;oct-11;90 kW (122 CV);Manual;Diésel;11 l;IT;295;€ 19.700;;;;
Land Rover Defender;151.261 km;dic-11;91 kW (124 CV);Manual;Diésel;-/- ;FR;266;€ 28.990;;;;
Land Rover Discovery;193.000 km;may-12;188 kW (256 CV);Automático;Diésel;8,8;DE;230;€ 16.990;;;;
Land Rover Range Rover;203.000 km;ene-12;230 kW (313 CV);Automático;Diésel;9,4;DE;249;€ 19.890;;;;
Land Rover Range Rover;132.400 km;dic-11;230 kW (313 CV);Automático;Diésel;9,4;DE;253;€ 24.480;;;;
Land Rover Range Rover Sport;347.911 km;mar-10;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 11.850;;;;
Land Rover Freelander;165.000 km;jul-10;118 kW (160 CV);Manual;Diésel;6,7;Unknown;179;€ 10.500;;;;
Land Rover Range Rover Evoque;175.892 km;ago-12;110 kW (150 CV);Automático;Diésel;5 l/;DE;133;€ 14.995;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Freelander;103.100 km;jul-11;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 10.150;;;;
Land Rover Freelander;141.000 km;ago-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Range Rover Evoque;104.000 km;jun-12;110 kW (150 CV);Manual;Diésel;5 l/;ES;-/- ;€ 18.990;;;;
Land Rover Range Rover Evoque;190.000 km;dic-12;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 17.000;;;;
Land Rover Defender;13.500 km;mar-12;90 kW (122 CV);Manual;Diésel;10 l;IT;266;€ 39.400;;;;
Land Rover Range Rover Sport;155.000 km;jul-10;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 14.900;;;;
Land Rover Range Rover;253.425 km;feb-11;230 kW (313 CV);Automático;Diésel;9,4;ES;-/- ;€ 24.990;;;;
Land Rover Range Rover Sport;200.000 km;jul-10;200 kW (272 CV);Automático;Diésel;11,1;DE;294;€ 12.500;;;;
Land Rover Range Rover;200.000 km;ene-10;200 kW (272 CV);Automático;Diésel;11,3;Unknown;294;€ 15.000;;;;
Land Rover Range Rover;300.000 km;ene-12;230 kW (313 CV);Automático;Diésel;9,4;Unknown;253;€ 8.500;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Freelander;145.000 km;may-10;112 kW (152 CV);Automático;Diésel;7,9;Unknown;214;€ 9.600;;;;
Land Rover Range Rover Evoque;92.897 km;abr-12;110 kW (150 CV);Automático;Diésel;6,5;NL;174;€ 25.950;;;;
Land Rover Defender;153.200 km;oct-12;90 kW (122 CV);Manual;Diésel;11 l;ES;-/- ;€ 22.350;;;;
Land Rover Range Rover Evoque;125.000 km;may-12;140 kW (190 CV);Automático;Diésel;5,7;DE;149;€ 22.750;;;;
Land Rover Range Rover Sport;169.000 km;jun-12;188 kW (256 CV);Automático;Diésel;9,2;ES;-/- ;€ 21.995;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Sport;98.000 km;nov-10;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 22.000;;;;
Land Rover Defender;146.000 km;oct-12;90 kW (122 CV);Manual;Diésel;11,1;ES;-/- ;€ 22.200;;;;
Land Rover Range Rover Sport;151.000 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 19.000;;;;
Land Rover Range Rover Sport;164.000 km;mar-11;180 kW (245 CV);Automático;Diésel;9,2;BE;243;€ 17.000;;;;
Land Rover Freelander;180.000 km;ago-12;110 kW (150 CV);Manual;Diésel;7,5;DE;194;€ 9.780;;;;
Land Rover Discovery;212.820 km;jul-12;155 kW (211 CV);Automático;Diésel;8,5;Unknown;224;€ 16.500;;;;
Land Rover Range Rover Evoque;155.000 km;may-12;140 kW (190 CV);Automático;Diésel;6,5;BE;174;€ 17.540;;;;
Land Rover Range Rover Evoque;76.800 km;dic-11;177 kW (241 CV);Automático;Gasolina;8,7;AT;199;€ 24.989;;;;
Land Rover Range Rover;225.000 km;feb-11;230 kW (313 CV);Automático;Diésel;9,4;DE;253;€ 16.470;;;;
Land Rover Freelander;90.000 km;may-12;140 kW (190 CV);Automático;Diésel;7 l/;IT;185;€ 12.900;;;;
Land Rover Range Rover Evoque;136.453 km;ago-12;177 kW (241 CV);Automático;Gasolina;8,2;NL;-/- ;€ 27.950;;;;
Land Rover Range Rover Evoque;125.000 km;jul-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 19.500;;;;
Land Rover Range Rover Evoque;83.610 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Evoque;83.610 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Evoque;83.610 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Sport;234.835 km;abr-11;155 kW (211 CV);Automático;Diésel;9,2;DE;243;€ 12.900;;;;
Land Rover Discovery;237.000 km;abr-12;188 kW (256 CV);Automático;Diésel;8,8;DE;230;€ 15.750;;;;
Land Rover Range Rover Evoque;134.000 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;IT;149;€ 18.990;;;;
Land Rover Range Rover Evoque;83.610 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Evoque;83.610 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Freelander;137.000 km;ago-10;112 kW (152 CV);Manual;Diésel;6,7;Unknown;179;€ 7.700;;;;
Land Rover Range Rover;113.000 km;nov-10;375 kW (510 CV);Automático;Gasolina;14,9;ES;-/- ;€ 31.990;;;;
Land Rover Range Rover Evoque;221.886 km;feb-12;110 kW (150 CV);Manual;Diésel;5,1;NL;133;€ 16.890;;;;
Land Rover Range Rover Sport;180.000 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;AT;243;€ 19.900;;;;
Land Rover Range Rover;139.863 km;may-11;230 kW (313 CV);Automático;Diésel;9,4;DE;249;€ 19.990;;;;
Land Rover Range Rover Sport;145.000 km;may-12;188 kW (256 CV);Automático;Diésel;8,8;DE;233;€ 20.900;;;;
Land Rover Discovery;187.000 km;dic-11;188 kW (256 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 19.900;;;;
Land Rover Freelander;175.000 km;jun-11;110 kW (150 CV);Automático;Diésel;7 l/;BE;185;€ 8.500;;;;
Land Rover Range Rover Evoque;99.500 km;ene-12;110 kW (150 CV);Automático;Diésel;6,4;ES;-/- ;€ 19.890;;;;
Land Rover Range Rover Sport;194.099 km;abr-12;188 kW (256 CV);Automático;Diésel;9,2;ES;-/- ;€ 22.000;;;;
Land Rover Discovery;163.000 km;mar-12;180 kW (245 CV);Automático;Diésel;9,3;IT;244;€ 18.900;;;;
Land Rover Freelander;127.000 km;mar-12;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 12.500;;;;
Land Rover Freelander;185.000 km;abr-10;118 kW (160 CV);Manual;Diésel;6,7;IT;179;€ 6.490;;;;
Land Rover Freelander;170.000 km;may-11;140 kW (190 CV);Automático;Diésel;7 l/;IT;185;€ 10.800;;;;
Land Rover Freelander;189.000 km;mar-12;110 kW (150 CV);Automático;Diésel;6,2;DE;165;€ 9.999;;;;
Land Rover Range Rover Evoque;93.876 km;ago-12;140 kW (190 CV);Automático;Diésel;6,5;DE;172;€ 21.900;;;;
Land Rover Defender;17.925 km;abr-12;90 kW (122 CV);Manual;Diésel;11,1;DE;295;€ 38.940;;;;
Land Rover Range Rover Evoque;190.000 km;mar-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 19.499;;;;
Land Rover Range Rover Evoque;43.211 km;oct-12;177 kW (241 CV);Automático;Gasolina;8,7;DE;206;€ 24.900;;;;
Land Rover Range Rover Sport;288.653 km;ago-12;188 kW (256 CV);Automático;Diésel;8,8;AT;230;€ 13.490;;;;
Land Rover Defender;137.750 km;mar-12;90 kW (122 CV);Manual;Diésel;11,1;BE;295;€ 33.490;;;;
Land Rover Defender;132.000 km;jul-12;90 kW (122 CV);Manual;Diésel;-/- ;Unknown;295;€ 27.950;;;;
Land Rover Range Rover Evoque;176.000 km;oct-11;110 kW (150 CV);Automático;Diésel;5,7;Unknown;149;€ 17.900;;;;
Land Rover Defender;52.000 km;oct-12;90 kW (122 CV);Manual;Diésel;10 l;FR;266;€ 69.500;;;;
Land Rover Range Rover Evoque;121.800 km;ene-12;177 kW (241 CV);Automático;Gasolina;8,7;DE;206;€ 17.000;;;;
Land Rover Freelander;149.000 km;feb-10;118 kW (160 CV);Manual;Diésel;6,7;IT;179;€ 9.400;;;;
Land Rover Range Rover Sport;74.193 km;abr-12;188 kW (256 CV);Automático;Diésel;8,8;DE;230;€ 24.950;;;;
Land Rover Range Rover Sport;195.000 km;may-11;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 14.990;;;;
Land Rover Range Rover Sport;236.839 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 12.900;;;;
Land Rover Defender;131.131 km;abr-11;90 kW (122 CV);Manual;Diésel;11 l;DE;291;€ 27.950;;;;
Land Rover Range Rover Sport;80.000 km;ene-11;375 kW (510 CV);Automático;Gasolina;14,9;ES;-/- ;€ 27.900;;;;
Land Rover Range Rover Sport;169.000 km;mar-11;188 kW (256 CV);Automático;Diésel;9,2;ES;-/- ;€ 18.875;;;;
Land Rover Range Rover Evoque;230.000 km;abr-12;140 kW (190 CV);Automático;Diésel;6,4;BE;169;€ 15.950;;;;
Land Rover Freelander;160.000 km;nov-10;110 kW (150 CV);Automático;Diésel;8,5;DE;224;€ 9.950;;;;
Land Rover Defender;72.800 km;feb-10;90 kW (122 CV);Manual;Diésel;-/- ;ES;-/- ;€ 26.900;;;;
Land Rover Discovery;209.000 km;abr-12;188 kW (256 CV);Automático;Diésel;8,8;BE;230;€ 16.300;;;;
Land Rover Range Rover Sport;140.000 km;sep-11;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 17.500;;;;
Land Rover Defender;99.288 km;ene-11;90 kW (122 CV);Manual;Diésel;-/- ;NL;291;€ 41.950;;;;
Land Rover Range Rover;193.473 km;dic-10;234 kW (318 CV);Automático;Diésel;-/- ;FR;253;€ 18.900;;;;
Land Rover Range Rover Sport;163.242 km;ene-11;155 kW (211 CV);Automático;Diésel;9,2;FR;243;€ 17.990;;;;
Land Rover Range Rover Sport;189.443 km;nov-12;188 kW (256 CV);Automático;Diésel;9,2;ES;-/- ;€ 19.490;;;;
Land Rover Range Rover;229.000 km;jun-11;230 kW (313 CV);Automático;Diésel;9,4;BE;253;€ 19.900;;;;
Land Rover Range Rover Evoque;145.000 km;dic-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 17.000;;;;
Land Rover Defender;55.000 km;dic-12;90 kW (122 CV);Manual;Diésel;-/- ;IT;-/- ;€ 27.000;;;;
Land Rover Range Rover Evoque;92.659 km;ene-12;177 kW (241 CV);Automático;Gasolina;8,7;NL;181;€ 29.950;;;;
Land Rover Range Rover Sport;266.000 km;ene-10;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 12.999;;;;
Land Rover Range Rover;318.000 km;may-10;200 kW (272 CV);Automático;Diésel;11,1;IT;294;€ 7.600;;;;
Land Rover Freelander;190.000 km;ago-10;118 kW (160 CV);Manual;Diésel;6,7;Unknown;179;€ 9.800;;;;
Land Rover Range Rover Evoque;78.680 km;ago-12;110 kW (150 CV);Manual;Diésel;5,7;DE;151;€ 17.200;;;;
Land Rover Freelander;174.980 km;sep-11;140 kW (190 CV);Automático;Diésel;7 l/;IT;185;€ 11.500;;;;
Land Rover Range Rover Evoque;154.000 km;dic-12;110 kW (150 CV);Automático;Diésel;5,7;Unknown;149;€ 20.000;;;;
Land Rover Range Rover Evoque;115.000 km;sep-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 20.900;;;;
Land Rover Range Rover Sport;111.790 km;may-11;375 kW (510 CV);Automático;Gasolina;14,9;Unknown;348;€ 21.500;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Sport;170.000 km;ene-10;200 kW (272 CV);Automático;Diésel;11,1;Unknown;294;€ 19.800;;;;
Land Rover Range Rover Sport;127.000 km;sep-11;155 kW (211 CV);Automático;Diésel;8,5;Unknown;224;€ 19.890;;;;
Land Rover Range Rover Evoque;130.000 km;nov-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 20.000;;;;
Land Rover Range Rover Evoque;160.150 km;sep-11;140 kW (190 CV);Automático;Diésel;6,5;NL;174;€ 21.999;;;;
Land Rover Range Rover Sport;171.150 km;may-11;180 kW (245 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 16.500;;;;
Land Rover Range Rover Sport;186.000 km;sep-11;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 15.000;;;;
Land Rover Range Rover Evoque;116.900 km;mar-12;140 kW (190 CV);Manual;Diésel;5,7;DE;149;€ 19.900;;;;
Land Rover Range Rover Sport;158.000 km;dic-10;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 18.899;;;;
Land Rover Discovery;174.000 km;ago-10;140 kW (190 CV);Automático;Diésel;-/- ;DE;-/- ;€ 17.950;;;;
Land Rover Range Rover Evoque;165.000 km;ago-12;110 kW (150 CV);Automático;Diésel;5,7;Unknown;149;€ 17.299;;;;
Land Rover Range Rover Evoque;140.000 km;abr-12;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 25.750;;;;
Land Rover Range Rover Evoque;106.000 km;nov-11;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 16.900;;;;
Land Rover Range Rover Sport;9 km;nov-11;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 15.500;;;;
Land Rover Range Rover Sport;252.000 km;oct-11;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 17.500;;;;
Land Rover Range Rover Sport;178.000 km;feb-11;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 17.999;;;;
Land Rover Freelander;162.000 km;sep-10;118 kW (160 CV);Manual;Diésel;7,5;ES;179;€ 8.990;;;;
Land Rover Range Rover Evoque;139.000 km;may-12;110 kW (150 CV);Manual;Diésel;5,7;IT;149;€ 17.800;;;;
Land Rover Range Rover Sport;126.500 km;feb-10;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 17.999;;;;
Land Rover Freelander;146.733 km;feb-11;110 kW (150 CV);Manual;Diésel;6,2;NL;165;€ 12.450;;;;
Land Rover Range Rover Sport;158.000 km;abr-10;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 15.970;;;;
Land Rover Range Rover Evoque;124.860 km;may-12;140 kW (190 CV);Automático;Diésel;6,5;DE;172;€ 18.990;;;;
Land Rover Range Rover Sport;165.000 km;jul-10;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 14.900;;;;
Land Rover Range Rover Sport;146.000 km;may-10;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 14.600;;;;
Land Rover Freelander;155.000 km;feb-10;118 kW (160 CV);Manual;Diésel;6,7;Unknown;179;€ 7.950;;;;
Land Rover Range Rover Evoque;149.889 km;dic-12;177 kW (241 CV);Automático;Gasolina;8,7;NL;-/- ;€ 22.999;;;;
Land Rover Range Rover Sport;91.262 km;abr-10;375 kW (510 CV);Automático;Gasolina;14,9;DE;348;€ 24.980;;;;
Land Rover Range Rover Evoque;121.572 km;nov-11;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 22.900;;;;
Land Rover Defender;91.581 km;ene-10;115 kW (156 CV);Manual;Diésel;10 l;NL;295;€ 89.500;;;;
Land Rover Freelander;141.000 km;sep-11;110 kW (150 CV);Manual;Diésel;6,2;Unknown;165;€ 11.000;;;;
Land Rover Range Rover Evoque;112.000 km;may-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 17.900;;;;
Land Rover Range Rover Evoque;139.410 km;mar-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 22.000;;;;
Land Rover Freelander;197.000 km;oct-10;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 8.900;;;;
